Ticker,Name,Exchange,Commodity,Market Cap (CAD)
ISO,IsoEnergy Ltd.,TSX,Uranium,659171050.08
MNO,Meridian Mining UK Societas,TSX,Gold,656722332.03
MKO,Mako Mining Corp.,TSXV,Gold,655177815.18
NOU,Nouveau Monde Graphite Inc.,TSX,Diversified,638558953.95
UCU,Ucore Rare Metals Inc.,TSXV,Rare Earths,624936081.09
FWZ,Fireweed Metals Corp.,TSXV,Tungsten,613647390.72
JAG,Jaguar Mining Inc.,TSX,Gold,613027488.75
ARG,Amerigo Resources Ltd.,TSX,Copper,608822076.59
ALDE,Aldebaran Resources Inc.,TSXV,Gold,598097702.4
FMT,Fuerte Metals Corporation,TSXV,Gold,581192208.0
NCX,NorthIsle Copper and Gold Inc.,TSXV,Gold,577777768.92
ITH,International Tower Hill Mines Ltd.,TSX,Gold,565448486.56
TLO,Talon Metals Corp.,TSX,Nickel,560461574.4
DV,Dolly Varden Silver Corporation,TSXV,Gold,557074661.4
IFOS,Itafos Inc.,TSXV,Rare Earths,547367487.06
ARA,Aclara Resources Inc.,TSX,Rare Earths,545563348.08
HSLV,Highlander Silver Corp.,TSX,Gold,543279351.05
FF,First Mining Gold Corp.,TSX,Gold,535418089.465
AMX,Amex Exploration Inc.,TSXV,Gold,509999169.6
FDY,Faraday Copper Corp.,TSX,Copper,500702548.5
SAU,St. Augustine Gold and Copper Limited,TSX,Gold,500079721.28
ETG,Entree Resources Ltd.,TSX,Gold,498159707.36
STGO,Steppe Gold Ltd.,TSX,Gold,477843383.43
ECOR,Ecora Resources plc,TSX,Copper,473165789.4
ERD,Erdene Resource Development Corporation,TSX,Gold,466545655.62
VOXR,Vox Royalty Corp.,TSX,Gold,458767169.28
LGD,Liberty Gold Corp.,TSX,Gold,418094825.98
GOLD,GoldMining Inc.,TSX,Gold,416645002.0
SBI,Serabi Gold plc,TSX,Gold,403665156.83
PTM,Platinum Group Metals Ltd.,TSX,PGM,394591654.34
TI,Titan Mining Corporation,TSX,Diversified,355895209.19
VGZ,Vista Gold Corp.,TSX,Gold,348337138.08
OM,Osisko Metals Incorporated,TSX,Copper,293968178.88
TRX,TRX Gold Corporation,TSX,Gold,291573107.76
STLR,STLLR Gold Inc.,TSX,Gold,241917568.0
LN,Loncor Gold Inc.,TSX,Gold,238674173.4
TSK,Talisker Resources Ltd.,TSX,Gold,237800714.68
ORV,Orvana Minerals Corp.,TSX,Gold,225428232.15
BSX,Belo Sun Mining Corp.,TSX,Gold,221268497.86
GLO,Global Atomic Corporation,TSX,Uranium,216133906.19
ELO,Eloro Resources Ltd.,TSX,Gold,201972655.71
NCF,Northcliff Resources Ltd.,TSX,"Molybdenum, Tungsten",200775038.4
OCG,Outcrop Silver & Gold Corporation,TSX,Gold,187698023.145
DNG,Dynacor Group Inc.,TSX,Copper,184751534.52
LIRC,Lithium Royalty Corp.,TSX,Lithium,169436378.25
LAM,Laramide Resources Ltd.,TSX,Uranium,167336011.81
XTG,Xtra-Gold Resources Corp.,TSX,Gold,162700847.16
GENM,Generation Mining Limited,TSX,Copper,159082667.01
FURY,Fury Gold Mines Limited,TSX,Gold,149617772.19
MGA,Mega Uranium Ltd.,TSX,Uranium,145352182.36
GCU,Gunnison Copper Corp.,TSX,Copper,134538442.68
LGO,Largo Inc.,TSX,Diversified,114971970.36
WM,Wallbridge Mining Company Limited,TSX,Gold,109807368.57
GMX,Globex Mining Enterprises Inc.,TSX,Gold,103357282.24
ESM,Euro Sun Mining Inc.,TSX,Gold,97304277.71
LUC,Lucara Diamond Corp.,TSX,Diamonds,82049096.34
CCM,Canagold Resources Ltd.,TSX,Gold,81465593.58
ATCU,Alta Copper Corp.,TSX,Copper,77161693.32
AMC,Arizona Metals Corp.,TSX,Gold,76529786.48
SLR,Solitario Resources Corp.,TSX,Silver,74860248.1
NEXT,NextSource Materials Inc.,TSX,Diversified,73039887.265
S,Sherritt International Corporation,TSX,Nickel,71961858.6
FSY,Forsys Metals Corp.,TSX,Uranium,70970385.43
SAM,Starcore International Mines Ltd.,TSX,Gold,62205597.07
ELR,Eastern Platinum Limited,TSX,PGM,60029970.67
RTG,RTG Mining Inc.,TSX,Gold,57351162.33
FT,Fortune Minerals Limited,TSX,Diversified,51965124.39
AVL,Avalon Advanced Materials Inc.,TSX,Lithium,48821845.62
NPK,Verde Agritech Ltd,TSX,Potash,48457066.08
NVO,Novo Resources Corp.,TSX,Gold,44328784.875
COPR,Coppernico Metals Inc.,TSX,Gold,42553163.52
BKI,Black Iron Inc.,TSX,Iron,41339759.13
SBR,Silver Bear Resources plc,TSX,Silver,33916480.55
YRB,Yorbeau Resources Inc.,TSX,Gold,30003241.45
GRC,Gold Springs Resource Corp.,TSX,Gold,28301349.2
DIAM,Star Diamond Corporation,TSX,Diamonds,26891731.09
MSV,Minco Silver Corporation,TSX,Silver,20336277.39
SVB,"Silver Bull Resources, Inc.",TSX,Silver,16759579.88
WRX,Western Resources Corp.,TSX,"Lead, Potash",16356619.12
MPVD,Mountain Province Diamonds Inc.,TSX,Diamonds,15927025.725
ELEF,Silver Elephant Mining Corp.,TSX,Gold,14156554.74
KRN,Karnalyte Resources Inc.,TSX,Potash,10123956.58
AUMN,Golden Minerals Company,TSX,Gold,8429706.88
FMR,Future Mineral Resources Inc.,TSX,Gold,5924095.16
CNT,Century Global Commodities Corporation,TSX,Iron,5910274.25
