ticker,mine_name,period,period_end,ore_mined_tonnes,ore_processed_tonnes,head_grade,head_grade_unit,recovery_pct,gold_oz,silver_oz,copper_lbs,zinc_lbs,gold_eq_oz,aisc_usd,cash_cost_usd,source_url,notes
AEM,Canadian Malartic,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.agnicoeagle.com/investors,
AEM,Detour Lake,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.agnicoeagle.com/investors,
AEM,Macassa,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.agnicoeagle.com/investors,
ABX,Nevada Gold Mines,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.barrick.com/investors,
ABX,Pueblo Viejo,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.barrick.com/investors,
K,Paracatu,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.kinross.com/investors,
K,Tasiast,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.kinross.com/investors,
LUG,Fruta del Norte,Q3 2025,2025-09-30,,,,,,,,,,,,,https://www.lundingold.com/investors,
